hom_2_9 save_up%2:40:00:: save%2:40:03::
hom_3_7 prick%2:35:03:: prick%2:39:00::
hom_4_5 entrenched%5:00:00:invulnerable:00 entrench%2:41:00::
hom_5_15 counterfeit%2:36:00:: forge%1:06:01::
hom_7_14 hit%2:35:03:: strike%2:39:00::
hom_8_17 vault%2:38:00:: vault%1:06:02::
hom_9_11 deep%5:00:00:low:01 deep%5:00:01:intense:00
hom_10_13 bowling_pin%1:06:00:: pin%1:06:07::
hom_11_9 lick%2:35:00:: lick%2:34:00::
hom_14_14 admit%2:42:06:: accept%2:40:03::
hom_15_15 toast%2:30:00:: toast%2:34:00::
hom_16_13 plant%2:35:06:: plant%1:03:00::
hom_18_8 square%1:23:00:: square%1:06:00::
hom_19_3 dangerous%5:00:00:critical:03 sedate%5:00:00:serious:00
hom_20_17 electric_receptacle%1:06:00:: exit%1:06:00::
hom_21_9 draw%2:30:04:: draw%2:36:02::
hom_22_15 take_a_hit%2:34:12:: huff%2:34:00::
hom_23_7 burning%1:22:00:: bite%2:39:00::
hom_26_15 spell%2:41:00:: go%1:28:00::
hom_27_10 leaping%1:04:00:: resile%2:38:00::
hom_28_5 shot%5:00:00:colorful:00 shoot%2:35:01::
hom_30_8 gush%2:35:00:: gush%2:32:00::
hom_31_12 raft%2:38:00:: mess%1:23:00::
hom_34_15 train%2:32:00:: coach%2:38:00::
hom_38_9 break%2:38:08:: break%2:30:08::
hom_39_20 level%1:07:01:: level%2:32:01::
hom_43_8 case%1:10:01:: event%1:26:00::
hom_44_12 range%1:06:00:: range%1:14:00::
hom_45_6 role%1:09:00:: division%1:09:00::
hom_46_9 focus%2:30:00:: focus%1:15:00::
hom_47_13 groundbreaking_ceremony%1:04:00:: groundbreaking%5:00:00:original:00
hom_48_10 embrace%2:42:00:: cover%2:35:00::
hom_50_9 try_out%2:34:00:: taste%1:09:01::
hom_51_8 eat_away%2:30:00:: fret%1:26:00::
hom_52_19 lull%2:37:00:: still%3:00:03::
hom_53_8 manifest%5:00:00:obvious:00 patent%2:40:00::
hom_55_12 regard%2:31:00:: see%2:35:09::
hom_58_15 foot%1:18:00:: foot%1:04:00::
hom_61_10 irrational%3:00:00:: irrational%1:23:00::
hom_62_9 landing%1:04:01:: land%2:30:00::
hom_63_10 precede%2:32:03:: premise%2:32:00::
hom_67_15 bar%1:06:06:: exclude%2:32:01::
hom_70_9 snap%2:30:01:: snap%1:28:00::
hom_71_21 scattering%1:19:01:: spit%2:43:00::
hom_72_10 mental_faculty%1:09:00:: faculty%1:14:00::
hom_74_9 energy%1:19:01:: vigour%1:07:02::
hom_75_13 hold%2:41:00:: book%2:41:03::
hom_76_7 count%2:32:03:: count%2:42:00::
hom_77_14 quietus%1:26:00:: residual%1:24:00::
hom_78_18 scraunch%2:32:00:: crush%1:04:00::
hom_80_5 spout%2:38:00:: rave%2:32:01::
hom_82_6 makeover%1:04:00:: makeover%1:04:01::
hom_83_4 rejoin%2:41:00:: return%2:32:01::
hom_85_15 stand%2:42:03:: viewpoint%1:09:00::
hom_86_20 immortalise%2:31:00:: record%1:10:03::
hom_87_13 tap%1:04:00:: pat%5:00:00:appropriate:00
hom_88_11 match%2:30:00:: match%2:40:00::
hom_90_3 chill%1:12:00:: cool_down%2:30:00::
hom_91_15 root%1:23:00:: root%2:30:00::
hom_93_14 branch%1:06:00:: offshoot%1:19:00::
hom_96_12 blow%2:40:00:: boast%2:32:00::
hom_97_6 down%5:00:00:falling:00 land%2:38:06::
hom_99_10 unhinge%2:30:00:: distract%2:37:02::
hom_100_20 racquet%1:06:00:: racket%2:39:00::
hom_103_7 expire%2:30:00:: croak%2:32:01::
hom_104_17 pick%2:30:00:: picking%1:23:00::
hom_108_10 zest%2:39:00:: piquancy%1:07:00::
hom_109_10 boring%1:04:01:: tire%2:37:01::
hom_110_11 rut%1:04:00:: rut%1:25:00::
hom_112_7 find%2:30:00:: get%2:40:00::
hom_113_11 type%1:10:01:: type%1:10:00::
hom_115_11 cue%1:09:01:: pool_stick%1:06:00::
hom_116_14 stool%1:06:01:: potty%5:00:00:loving:00
hom_117_5 grind%2:36:05:: fag%2:41:00::
hom_119_7 alarming%3:00:00:: appall%2:37:10::
hom_120_12 differentiate%2:31:00:: differentiate%2:30:05::
hom_124_7 see%2:41:11:: see%2:35:09::
hom_125_17 possessive%5:00:00:acquisitive:00 possessive%3:01:00::
hom_128_16 pitch%2:35:13:: pitch%1:04:00::
hom_130_11 burry%5:00:00:armed:02 bristle%2:31:00::
hom_133_12 dough%1:13:00:: wampum%1:21:00::
hom_135_10 ripe%5:00:00:opportune:00 ripe%3:00:00::
hom_136_15 drain%2:34:00:: drainpipe%1:06:00::
hom_137_5 intact%5:00:00:whole:00 integral%1:09:00::
hom_138_15 lurch%2:38:00:: rake%1:07:00::
hom_140_12 general%5:00:00:undiversified:00 general%5:00:00:imprecise:00
hom_141_17 stable%5:00:00:unreactive:00 stable%5:00:00:balanced:00
hom_142_17 front%1:19:00:: front%1:09:00::
hom_145_11 pullulate%2:30:00:: slam%1:10:00::
hom_147_8 mediocre%5:00:00:ordinary:00 average%1:09:01::
hom_148_15 usher%2:38:00:: appearance%1:04:02::
hom_149_9 file%2:32:02:: register%2:41:00::
hom_150_8 contact_lens%1:06:00:: contact%1:04:02::
hom_152_21 material%3:00:01:: material%1:18:00::
hom_153_2 call%2:32:02:: call%1:10:06::
hom_154_9 pawn%1:21:00:: pawn%1:04:00::
hom_156_10 thunderclap%1:11:01:: bombshell%1:18:00::
hom_157_8 pipe%2:32:00:: pipe%1:06:04::
hom_159_21 fly%2:35:01:: fly%1:05:00::
hom_160_9 mean%5:00:00:nasty:00 mean_value%1:09:00::
hom_163_13 vent%2:32:00:: vent%1:06:01::
hom_164_12 cut%2:35:11:: cut%2:30:14::
hom_165_13 steal%2:40:00:: buy%1:21:00::
hom_169_8 flop%2:38:00:: flop%4:02:00::
hom_170_23 stage%1:28:00:: stage%1:06:01::
hom_172_10 venous_blood_vessel%1:08:00:: nervure%1:20:01::
hom_173_8 tenderize%2:30:00:: legal_tender%1:21:00::
hom_174_17 ring_armor%1:06:00:: get_off%2:35:00::
hom_175_8 blast%2:36:02:: good_time%1:11:00::
hom_177_8 sweep%2:33:00:: sail%2:38:01::
hom_178_15 snap%2:38:00:: click%2:32:00::
hom_179_10 focus%2:31:01:: focal_point%1:19:00::
hom_181_17 net%1:06:04:: net%1:21:00::
hom_183_7 cavum%1:08:00:: cavity%1:17:00::
hom_185_12 trouble%1:09:00:: problem%1:26:00::
hom_186_13 os%1:08:00:: drum%2:31:00::
hom_188_22 chicken%1:13:00:: chicken%1:11:00::
hom_189_11 drive%2:35:02:: drive%1:06:03::
hom_191_11 identity%1:24:01:: individuality%1:07:01::
hom_193_14 ball%1:04:01:: ball%1:08:00::
hom_195_7 makeover%1:04:00:: makeover%1:04:01::
hom_196_14 taper%2:30:00:: point%2:33:02::
hom_197_13 short%4:02:07:: short%4:02:02::
hom_198_3 march%2:38:04:: process%2:38:00::
hom_199_21 recite%2:32:01:: recount%2:32:02::
hom_201_13 hitch%1:06:00:: gimp%2:38:00::
hom_202_12 buzz_off%2:38:00:: get%2:33:00::
hom_203_7 pappa%1:18:00:: pop%2:35:00::
hom_206_15 rake%2:35:00:: rake%1:06:00::
hom_207_8 combination%1:14:02:: combination%1:14:01::
hom_208_13 arm%1:14:00:: arm%1:06:01::
hom_209_17 lot%1:18:00:: lot%1:15:00::
hom_214_13 fly%2:35:00:: fly%2:35:01::
hom_217_12 demesne%1:15:00:: domain_of_a_function%1:14:00::
hom_218_5 stand%2:35:01:: remain_firm%2:42:00::
hom_219_12 dough%1:13:00:: sugar%1:21:00::
hom_220_11 source%1:15:00:: root%1:20:00::
hom_221_19 right%1:07:00:: right%5:00:00:right-handed:00
hom_222_7 high%1:15:00:: luxuriously%4:02:00::
hom_223_9 still%4:02:02:: still%1:06:02::
hom_224_11 cut%2:38:12:: cut%2:35:11::
hom_225_8 nab%2:35:00:: nail_down%2:41:00::
hom_226_10 alarmed%5:00:00:afraid:00 dismay%2:37:00::
hom_227_14 draw%2:36:01:: get%2:37:12::
hom_228_10 thomas_kid%1:18:00:: child%1:18:01::
hom_229_3 boil%1:07:00:: boil%2:30:01::
hom_231_14 mass%1:14:02:: mass%1:07:01::
hom_233_26 tension%1:19:00:: tension%1:26:00::
hom_234_6 suit%1:10:00:: suit%2:42:00::
hom_235_9 crown%2:42:00:: crown%2:30:01::
hom_236_12 mass%1:17:00:: mass%1:14:02::
hom_237_8 bombination%1:11:00:: buzz%1:04:00::
hom_238_3 commit%2:41:01:: committed%3:00:00::
hom_243_11 cross%2:42:00:: tangle%2:42:00::
hom_245_10 extirpate%2:36:00:: uproot%2:41:00::
hom_250_9 slip%2:38:02:: drop_off%2:30:00::
hom_251_13 procreate%2:29:00:: manifold%2:30:01::
hom_254_16 chafe%2:35:01:: rub%2:39:00::
hom_255_10 retainer%1:06:00:: consideration%1:21:00::
hom_258_14 gravitational_force%1:19:00:: sobriety%1:07:01::
hom_259_13 peel%2:35:01:: flake%2:35:02::
hom_260_12 ghostwriter%1:18:00:: ghost%1:10:00::
hom_261_11 fall%2:41:01:: fall%2:41:00::
hom_262_5 run_down%2:40:00:: fool%1:18:00::
hom_266_12 shoot_down%2:38:01:: one_dollar_bill%1:21:00::
hom_267_9 mental_faculty%1:09:00:: staff%1:14:00::
hom_268_12 see%2:38:03:: see%2:39:05::
hom_273_9 punch%1:04:00:: punch%1:06:00::
hom_274_14 dribbling%1:04:00:: dribble%1:11:00::
hom_276_13 log%1:10:00:: log%2:32:00::
hom_277_7 putter%1:06:00:: muck_around%2:35:00::
hom_278_18 tiptoe%2:38:00:: tip%1:15:01::
hom_281_15 bat%1:06:00:: flutter%2:29:00::
hom_282_19 reservation%1:10:01:: reservation%1:09:01::
hom_283_22 overboard%4:02:01:: overboard%4:02:00::
hom_284_14 stock%1:14:00:: stockpile%2:40:00::
hom_285_19 sentence%1:04:00:: prison_term%1:28:00::
hom_286_10 hop%2:38:03:: record_hop%1:11:00::
hom_288_17 fan%1:06:00:: fan%2:30:00::
hom_289_7 flavor%2:39:00:: mollify%2:30:01::
hom_293_18 impression%1:09:01:: impression%1:07:00::
hom_294_11 spark%1:18:00:: trip%2:36:00::
hom_296_7 mold%1:20:00:: mould%1:06:00::
hom_298_11 tune%2:30:00:: tuning%1:04:00::
hom_300_5 hedge%2:30:00:: hedging%1:10:00::
hom_301_14 chick%1:05:00:: skirt%1:18:00::
hom_308_35 take%2:39:00:: carry%2:42:01::
hom_310_17 peach_tree%1:20:00:: stunner%1:18:00::
hom_313_12 expression%1:04:00:: formula%1:10:00::
hom_315_21 maroon%2:30:00:: strand%2:40:00::
hom_316_14 prone%5:00:00:inclined:02 prone%5:00:00:unerect:00
hom_317_20 dress%2:30:00:: dressing%1:04:00::
hom_318_17 go_down_on%2:39:00:: shock%1:11:01::
hom_319_13 plaque%1:08:00:: brass%1:06:01::
hom_320_7 scratch%1:10:00:: scrape%1:26:00::
hom_323_11 shoal%2:30:01:: shallow%3:00:02::
hom_324_11 fluke%1:05:01:: good_fortune%1:19:00::
hom_325_12 answer_for%2:32:00:: report%1:10:01::
hom_327_13 square%2:31:00:: square%5:00:00:conventional:01
hom_328_14 peep%2:30:00:: chirp%2:32:00::
hom_330_8 tie%1:06:02:: tie%1:10:00::
hom_334_10 gasolene%1:27:00:: gas%2:33:00::
hom_338_9 take%1:04:00:: take%2:35:00::
hom_339_17 keep%2:35:10:: donjon%1:06:00::
hom_341_10 placement%1:07:00:: arrangement%1:10:00::
hom_342_14 active%5:00:00:existent:00 live%3:00:00::
hom_344_5 stuff%1:10:01:: satiate%2:34:01::
hom_345_10 jam%2:38:01:: jam%2:32:00::
hom_348_19 accident%1:11:01:: stroke%1:11:02::
hom_349_7 window%1:28:00:: window%1:06:02::
hom_350_11 plane%2:38:00:: plane%1:26:00::
hom_354_3 submerse%2:35:00:: submerse%2:38:00::
hom_355_15 stock%5:00:00:standard:02 stock%1:26:00::
hom_356_8 stripe%1:10:00:: streak%1:07:00::
hom_357_7 imbibe%2:35:01:: go_down_on%2:39:00::
hom_358_8 stir%2:38:00:: stirring%1:04:00::
hom_359_8 posit%2:32:02:: state%2:32:00::
hom_360_10 spark%1:23:00:: sparkle%1:07:01::
